RUBRO_ID;RUBRO_NOMBRE;CODIGO_CLAE
213;Aserrado y cepillado de madera implantada;161002
214;Fabricación de hojas de madera para enchapado, fabricación de tableros contrachapados, tableros laminados, tableros de partículas y tableros y paneles n.c.p.;162100
215;Fabricación de aberturas y estructuras de madera para la construcción;162201
216;Fabricación de viviendas prefabricadas de madera;162202
217;Fabricación de recipientes de madera;162300
218;Fabricación de ataúdes;162901
219;Fabricación de artículos de madera en tornerías;162902
220;Fabricación de productos de corcho;162903
221;Fabricación de productos de madera n.c.p, fabricación de artículos de paja y materiales trenzables;162909
222;Fabricación de pasta de madera;170101
223;Fabricación de papel y cartón excepto envases;170102
224;Fabricación de papel ondulado y envases de papel;170201
225;Fabricación de cartón ondulado y envases de cartón;170202
226;Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario;170910
227;Fabricación de artículos de papel y cartón n.c.p.;170990
228;Impresión de diarios y revistas;181101
229;Impresión n.c.p., excepto de diarios y revistas;181109
230;Servicios relacionados con la impresión;181200
231;Reproducción de grabaciones;182000
232;Fabricación de productos de hornos de coque;191000
233;Fabricación de productos de la refinación del petróleo;192000
234;Fabricación de gases industriales y medicinales comprimidos o licuados;201110
235;Fabricación de curtientes naturales y sintéticos;201120
236;Fabricación de materias colorantes básicas, excepto pigmentos preparados;201130
237;Fabricación de combustible nuclear, sustancias y materiales radiactivos;201140
238;Fabricación de materias químicas inorgánicas básicas n.c.p.;201180
239;Fabricación de materias químicas orgánicas básicas n.c.p.;201190
240;Fabricación de alcohol;201210
241;Fabricación de biocombustibles excepto alcohol;201220
242;Fabricación de abonos y compuestos de nitrógeno;201300
243;Fabricación de resinas y cauchos sintéticos;201401
244;Fabricación de materias plásticas en formas primarias n.c.p.;201409
245;Fabricación de insecticidas, plaguicidas y  productos químicos de uso agropecuario;202101
246;Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas;202200
247;Fabricación de preparados para limpieza, pulido y saneamiento;202311
248;Fabricación de jabones y detergentes;202312
249;Fabricación de cosméticos, perfumes y  productos de higiene y tocador;202320
250;Fabricación de explosivos y productos de pirotecnia;202906
251;Fabricación de colas, adhesivos, aprestos y cementos excepto los odontológicos obtenidos de sustancias minerales y vegetales;202907
252;Fabricación de productos químicos n.c.p.;202908
253;Fabricación de fibras manufacturadas;203000
254;Servicios industriales para la fabricación de sustancias y productos químicos;204000
255;Fabricación de medicamentos de uso humano y productos farmacéuticos;210010
256;Fabricación de medicamentos de uso veterinario;210020
257;Fabricación de sustancias químicas para la elaboración de medicamentos;210030
258;Fabricación de productos de laboratorio y productos botánicos de uso farmaceútico n.c.p.;210090
259;Fabricación de cubiertas y cámaras;221110
260;Recauchutado y renovación de cubiertas;221120
261;Fabricación de  autopartes de caucho excepto cámaras y cubiertas;221901
262;Fabricación  de productos de caucho n.c.p.;221909
263;Fabricación de envases plásticos;222010
264;Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles;222090
265;Fabricación de envases de vidrio;231010
266;Fabricación y elaboración de vidrio plano;231020
267;Fabricación de productos de vidrio n.c.p.;231090
268;Fabricación de productos de cerámica refractaria;239100
269;Fabricación de ladrillos;239201
270;Fabricación de revestimientos cerámicos;239202
271;Fabricación de productos de arcilla y cerámica no refractaria para uso estructural n.c.p.;239209
272;Fabricación de artículos sanitarios de cerámica;239310
273;Fabricación de objetos cerámicos para uso doméstico excepto artefactos sanitarios;239391
274;Fabricación de artículos de cerámica no refractaria para uso no estructural n.c.p.;239399
275;Elaboración de cemento;239410
276;Elaboración de  yeso;239421
277;Elaboración de cal;239422
278;Fabricación de mosaicos;239510
279;Elaboración de hormigón;239591
280;Fabricación de premoldeadas para la construcción;239592
281;Fabricación de artículos de cemento, fibrocemento y yeso excepto hormigón y mosaicos;239593
282;Corte, tallado y acabado de la piedra;239600
283;Fabricación de productos minerales no metálicos n.c.p.;239900
284;Laminación y estirado. Producción de lingotes, planchas o barras fabricadas por operadores independientes;241001
285;Fabricación en industrias básicas de productos de hierro y acero n.c.p.;241009
286;Elaboración de aluminio primario y semielaborados de aluminio;242010
287;Fabricación de productos primarios de metales preciosos y metales no ferrosos n.c.p. y sus semielaborados;242090
288;Fundición de hierro y acero;243100
289;Fundición de metales no ferrosos;243200
290;Fabricación de carpintería metálica;251101
291;Fabricación de productos metálicos para uso estructural;251102
292;Fabricación de tanques, depósitos y recipientes de metal;251200
293;Fabricación de generadores de vapor;251300
294;Fabricación de armas y municiones;252000
295;Forjado, prensado, estampado y laminado de metales, pulvimetalurgia;259100
296;Tratamiento y revestimiento de metales y trabajos de metales en general;259200
297;Fabricación de herramientas manuales y sus accesorios;259301
298;Fabricación de artículos de cuchillería y utensillos de mesa y de cocina;259302
299;Fabricación de cerraduras, herrajes y artículos de ferretería n.c.p.;259309
300;Fabricación de envases metálicos;259910
301;Fabricación de tejidos de alambre;259991
302;Fabricación de cajas de seguridad;259992
303;Fabricación de productos metálicos de tornería y/o matricería;259993
304;Fabricación de productos elaborados de metal n.c.p.;259999
305;Fabricación de componentes electrónicos;261000
306;Fabricación de equipos y productos informáticos;262000
307;Fabricación  de equipos de comunicaciones y transmisores de radio y televisión;263000
308;Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos;264000
309;Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y otros fines, excepto el equipo de control de procesos industriales;265101
310;Fabricación de equipo de control de procesos industriales;265102
311;Fabricación de relojes;265200
312;Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos principalmente electrónicos y/o eléctricos;266010
313;Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p.;266090
314;Fabricación de equipamiento e instrumentos ópticos y sus accesorios;267001
315;Fabricación de aparatos y accesorios para fotografía excepto películas, placas y papeles sensibles;267002
316;Fabricación de soportes ópticos y magnéticos;268000
317;Fabricación de motores, generadores y transformadores eléctricos;271010
318;Fabricación de aparatos de distribución y control de la energía eléctrica;271020
319;Fabricación de acumuladores, pilas y baterías primarias;272000
320;Fabricación de cables de fibra óptica;273110
321;Fabricación de hilos y cables aislados n.c.p.;273190
322;Fabricación de lámparas eléctricas y equipo de iluminación;274000
323;Fabricación de cocinas, calefones, estufas y calefactores no eléctricos;275010
324;"Fabricación de heladeras, ""freezers"", lavarropas y secarropas";275020
325;Fabricación de ventiladores, extractores de aire, aspiradoras y similares;275091
326;Fabricación de planchas, calefactores, hornos eléctricos, tostadoras y otros aparatos generadores de calor;275092
327;Fabricación de aparatos de uso doméstico n.c.p.;275099
328;Fabricación  de equipo eléctrico n.c.p.;279000
329;Fabricación  de  motores  y  turbinas,  excepto  motores  para aeronaves, vehículos automotores   y motocicletas;281100
330;Fabricación de bombas;281201
331;Fabricación de compresores, grifos y válvulas;281301
332;Fabricación de cojinetes, engranajes, trenes de engranaje y piezas de transmisión;281400
333;Fabricación de hornos, hogares y quemadores;281500
334;Fabricación de maquinaria y equipo de elevación y manipulación;281600
335;Fabricación de maquinaria y equipo de oficina, excepto equipo informático;281700
336;Fabricación de  maquinaria y equipo de uso general n.c.p.;281900
337;Fabricación de tractores;282110
338;Fabricación de maquinaria y equipo de uso agropecuario y forestal;282120
339;Fabricación de implementos de uso agropecuario;282130
340;Fabricación de máquinas herramienta;282200
